igi.event,daten,focal,rival,n.adults,mean.age
513,41425,4B,11,8,1293.5
514,41465,1H,11,20,997.9
515,41471,1B,1H,23,987.7826087
516,41479,1H,11,20,1011.9
517,41500,1H,1B,19,1065.526316
518,41545,1H,11,19,1110.526316
519,41555,1B,14A,21,1122.809524
520,41581,2,1B,25,836.08
521,41589,1H,11,19,1154.526316
522,41592,1B,2,21,1108
523,41615,1B,UNK GROUP,21,1131
524,41638,17,4B,13,1521.692308
525,41650,7A,14A,22,1078.636364
526,41652,4B,17,7,1193.285714
527,41655,4B,17,6,1340.333333
528,41666,11,1B,29,812.137931
529,41667,1B,11,22,963.5454545
530,41670,4B,17,6,1355.333333
531,41673,1H,11,20,1168.25
532,41676,17,11,12,1616.25
533,41678,4B,1H,6,1363.333333
534,41684,2,1B,24,965.2083333
535,41706,7A,1H,22,1134.636364
536,41719,11,2,26,918.4230769
537,41732,11,2,26,931.4230769
538,41733,1B,2,19,1129.157895
539,41736,11,4B,26,935.4230769
540,41766,17,11,12,1706.25
541,41782,2,11,25,1030.16
542,41785,2,11,24,1044.333333
543,41804,7A,1H,18,1226.5
544,41846,17,4B,12,1786.25
545,41867,21,1B,8,1117.125
546,41869,1H,7A,19,1370.421053
547,41909,7A,1H,16,1404.3125
548,41930,2,1B,23,1201.478261
549,41932,1B,2,17,1319.764706
550,41937,4B,11,8,1187
551,41949,1H,1B,19,1384.736842
552,41996,2,11,19,1227.105263
553,42025,1B,11,17,1272.705882
554,42096,1B,2,34,768.2352941
555,42108,1B,21,34,780.2352941
556,42153,1H,7A,21,1284.571429
558,42182,11,1B,19,1292.368421
560,42217,1B,2,32,873.4375
561,42219,2,1B,19,1139.052632
562,42226,1B,11,30,920.2666667
563,42226,11,1B,17,1303.470588
564,42243,2,11,19,1163.052632
565,42278,2,11,18,1136.611111
566,42284,1B,11,28,1021.5
567,42293,1H,11,20,1405.75
568,42334,2,11,20,1067.65
570,42419,1B,2,27,987.1481481
571,42465,1H,7A,25,1178.8
573,42504,2,1B,14,1159.142857
575,42541,1B,11,28,918.2857143
576,42552,1B,11,28,929.2857143
577,42572,1B,11,27,955.8518519
578,42573,1B,2,27,956.8518519
579,42587,1H,11,25,1300.8
581,42595,11,1H,12,1502.333333
582,42611,1B,2,27,994.8518519
583,42640,1B,11,22,1124.681818
584,42664,2,11,7,927.5714286
585,42667,2,1B,7,930.5714286
586,42678,11,2,12,1585.333333
587,42716,1B,26,27,1019.074074
591,42952,7A,30,20,1314.85
592,43137,26,1B,5,1737.2
593,43230,1H,7A,20,979.4
594,43242,1B,1H,14,1640.571429
596,43502,26,1B,11,821.0909091
597,43554,1H,7A,30,839.2666667
