igi.event,daten,focal,rival,n.adults,mean.age
450,40415,1B,2,32,1237.03125
451,40457,1B,2,29,1256.482759
452,40464,1B,2,29,1263.482759
453,40525,1B,2,24,1453.375
454,40535,11,1H,16,926.875
455,40614,11,1B,25,1157.28
456,40621,1B,2,31,1219.387097
457,40637,1B,2,31,1235.387097
458,40646,18,14A,10,1368.1
459,40654,1B,2,31,1252.387097
460,40655,1H,11,25,1145.8
461,40656,11,4B,13,891.3076923
462,40677,1B,2,31,1275.387097
463,40686,1B,2,31,1284.387097
464,40700,11,2,31,1298.387097
465,40709,2,1B,24,833.2916667
466,40717,2,1B,23,762.9130435
467,40717,17,11,24,1241.166667
468,40727,2,1B,23,772.9130435
469,40730,1B,1H,21,719.5714286
470,40735,11,2,30,1365.1
471,40752,17,11,24,1276.166667
472,40782,17,11,23,1317.304348
473,40788,4B,1H,21,777.5714286
474,40794,15,18,6,827.1666667
475,40820,1B,11,23,1355.304348
476,40858,17,2,29,1422.206897
477,40860,1B,2,29,1424.206897
478,40866,1B,2,29,1430.206897
479,40868,2,1B,19,870.4736842
480,40872,2,1B,19,874.4736842
481,40910,1B,2,29,1474.206897
482,40964,1H,1B,17,945.5882353
483,40975,1B,2,29,1539.206897
484,40987,2,11,25,1418.92
485,40995,4E,4B,8,1095.625
486,40996,4B,4E,10,811.1
487,40997,4B,4E,10,812.1
488,40999,17,4B,7,1024.857143
489,41003,4B,4E,8,859.375
490,41006,11,17,12,1325.833333
491,41010,4E,4B,7,1035.857143
492,41012,14A,18,5,804.6
493,41019,11,1B,16,981.0625
494,41052,11,4B,8,969.125
495,41094,4E,4B,10,1011.3
496,41107,2,1B,16,1069.0625
497,41114,4B,17,12,1433.833333
498,41125,1B,1H,14,1114.785714
499,41127,2,1B,15,1121.266667
500,41151,4E,17,12,1470.833333
501,41165,2,1B,15,1159.266667
502,41167,4B,4E,8,762.375
503,41169,4B,4E,8,764.375
504,41178,1H,4E,8,773.375
505,41198,4B,4E,7,794.5714286
506,41226,1B,2,44,1169.204545
507,41232,4E,1H,18,967.5
508,41247,2,1B,24,831.5416667
509,41257,1B,2,26,787.9230769
510,41345,11,1B,29,799.5862069
511,41360,1B,15,5,1244.2
512,41361,1B,1H,21,936.4285714
513,41425,4B,11,32,886.4375
514,41465,1H,11,31,947.3870968
515,41471,1B,1H,20,1003.9
516,41479,1H,11,30,969.3666667
517,41500,1H,1B,22,1041.136364
518,41545,1H,11,27,869.8148148
519,41555,1B,14A,4,1699.75
520,41581,2,1B,21,1097
521,41589,1H,11,27,852.7777778
522,41592,1B,2,25,847.08
525,41650,7A,14A,4,1794.75
526,41652,4B,17,12,1592.25
527,41655,4B,17,12,1595.25
528,41666,11,1B,22,962.5454545
529,41667,1B,11,29,813.137931
530,41670,4B,17,12,1610.25
531,41673,1H,11,29,819.137931
532,41676,17,11,27,851.3333333
533,41678,4B,1H,20,1173.25
534,41684,2,1B,22,980.5454545
535,41706,7A,1H,20,1201.25
536,41719,11,2,24,1000.208333
537,41732,11,2,25,980.16
538,41733,1B,2,25,981.16
539,41736,11,4B,6,1421.333333
540,41766,17,11,26,965.4230769
541,41782,2,11,25,961.8
542,41785,2,11,25,964.8
